itemId,destinationLabel,description,category,city,rating,lat,long,image,wikipediaArticle,coordinates
QVbKNmioEB4bMRutoEmREN,Candi Agung,"Candi Agung adalah sebuah situs candi Hindu beratap yang terletak di Kelurahan Sungai Malang, kecamatan Amuntai Tengah, Kota Amuntai, Kalimantan Selatan. Di sekitar candi pernah ditemukan tiang kayu ulin dan pecahan genteng.",1,7,4.4,-2.414207,115.248318,http://commons.wikimedia.org/wiki/Special:FilePath/Candi%20Agung.jpg,https://id.wikipedia.org/wiki/Candi_Agung,"https://www.google.com/maps?q=-2.414207,115.248318"
YiyHwNte8nVpjRER7GkRqk,De Tjolomadoe,"Museum De Tjolomadoe adalah destinasi wisata yang terletak di Jalan Adi Sucipto No. 1 Malangjiwan, Colomadu, Karanganyar, Jawa Tengah, Indonesia. Pabrik gula ini dialihfungsikan menjadi museum, pusat konvensi, dan kawasan komersial.",1,68,4.5,-7.53438,110.74992,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE%20TROPENMUSEUM%20De%20Colomadu%20suikerfabriek%20in%20Malangjiwan%20in%20de%20omgeving%20van%20Soerakarta%20TMnr%2060005243.jpg,https://id.wikipedia.org/wiki/De_Tjolomadoe,"https://www.google.com/maps?q=-7.53438,110.74992"
992sBC6dH5DHicHeoWvTPi,Desa Penglipuran,"Penglipuran adalah salah satu desa adat dari Kabupaten Bangli, Provinsi Bali, Indonesia. Desa ini terkenal sebagai salah satu destinasi wisata di Bali karena masyarakatnya yang masih menjalankan dan melestarikan budaya tradisional Bali dalam kehidupan mereka sehari-hari.",4,14,4.8,-8.422,115.359,http://commons.wikimedia.org/wiki/Special:FilePath/ID-bali-penglipuran-2.jpg,https://id.wikipedia.org/wiki/Desa_Penglipuran,"https://www.google.com/maps?q=-8.422,115.359"
ccE4eYcRkhanCPgg8tRa28,Galeri Nasional Indonesia,"Galeri Nasional Indonesia adalah sebuah lembaga budaya negara atau sebagai museum seni rupa modern dan kontemporer. Di sini terdapat gedung yang berfungsi antara lain sebagai tempat pameran, dan perhelatan seni rupa Indonesia dan mancanegara. Gedung ini merupakan institusi milik pemerintah di bawah Menteri Pendidikan dan Kebudayaan. Fungsi Galeri Nasional Indonesia adalah melaksanakan pengkajian, pengumpulan, registrasi, perawatan, pengamanan, pameran, kemitraan, layanan edukasi dan publikasi karya seni rupa. Lalu fungsi utamanya adalah melindungi, pengembangan, dan pemanfaatan asset kesenian (seni rupa) sebagai fasilitas pendidikan dan kebudayaan. Galeri Nasional beralamat di Jalan Medan Merdeka Timur No. 14 Jakarta Pusat.",1,55,4.7,-6.178525529,106.8327756,http://commons.wikimedia.org/wiki/Special:FilePath/National%20Gallery%20of%20Indonesia.JPG,https://id.wikipedia.org/wiki/Galeri_Nasional_Indonesia,"https://www.google.com/maps?q=-6.178525529,106.8327756"
ADJeJnurymeSWiQ5jc8FEw,Gedong Kirtya,"Gedong Kirtya disebut juga Museum Gedong Kirtya atau Perpustakaan Gedong Kirtya adalah perpustakaan lontar yang beralamat di Jalan Veteran, No. 20, Kelurahan Paket Agung, Kecamatan Buleleng, Kabupaten Buleleng, Provinsi Bali. Didirikan pada 2 Juni 1928 dan mulai dibuka untuk umum pada 14 September 1928 oleh orang-orang Belanda di Singaraja, Bali, untuk mengenang jasa Van der Tuuk",1,38,4.5,-8.124837,115.096198,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE%20TROPENMUSEUM%20Gouverneur-Generaal%20B.C.%20de%20Jonge%20tijdens%20een%20bezoek%20aan%20de%20lontar%20bibliotheek%20van%20de%20stichting%20Kirtya%20Liefrinck-Van%20der%20Tuuk%20in%20Singaradja%20TMnr%2060037470.jpg,https://id.wikipedia.org/wiki/Gedong_Kirtya,"https://www.google.com/maps?q=-8.124837,115.096198"
H8UdKVhjoYCEixvrjJJeYK,Gedung BPPI Padang,"Gedung Balai Penerangan Pemuda Indonesia (BPPI) Padang atau Gedung Joang '45 Padang terletak di Jalan Pasar Mudik No. 50, Pasar Gadang, Kota Padang, Sumatra Barat, Indonesia. Sesuai dengan namanya, gedung ini dulunya merupakan Kantor BPPI Padang sekaligus menjadi tempat pembentukan organisasi tersebut pada 21 Agustus 1945, ditandai dengan pengibaran Merah Putih pertama di Padang.",1,115,,-0.959113587,100.3681849,http://commons.wikimedia.org/wiki/Special:FilePath/Pasar%20Gadang%20bppi.jpg,https://id.wikipedia.org/wiki/Gedung_BPPI_Padang,"https://www.google.com/maps?q=-0.959113587,100.3681849"
a8Dbe3s8SBpfoJrppV8haM,Gedung Joang '45 Sumatra Barat,"Gedung Joang '45 Sumatra Barat adalah bangunan cagar budaya yang terletak di Jalan Samudera, Kota Padang, Sumatra Barat, Indonesia. Gedung ini berfungsi sebagai museum dan perpustakaan di bawah pengelolaan Dewan Harian Daerah ’45 Sumatra Barat.",1,115,4.5,-0.957959472,100.3537051,http://commons.wikimedia.org/wiki/Special:FilePath/Gedung%20Joang%20%2745%20Sumatra%20Barat%2020211108.jpg,https://id.wikipedia.org/wiki/Gedung_Joang_%2745_Sumatra_Barat,"https://www.google.com/maps?q=-0.957959472,100.3537051"
5kEJHugjhriYGNUCNDYqhz,Goa Gajah,"Gua Gajah adalah gua buatan dari masa purbakala yang berfungsi sebagai tempat ibadah. Gua ini terletak di Desa Bedulu, Kecamatan Blahbatuh, Kabupaten Gianyar, Bali; berjarak kurang lebih 27 km dari Denpasar.",1,45,4.2,-8.523389,115.286333,http://commons.wikimedia.org/wiki/Special:FilePath/Ubud.GoaGajah.Cave.jpg,https://id.wikipedia.org/wiki/Goa_Gajah,"https://www.google.com/maps?q=-8.523389,115.286333"
k37xuWiwNPUrHNWtjNHUQB,Gua Maria Kerep,"Gua Maria Kerep (Gua Maria Kerep Ambarawa, disinglkat GMKA), adalah sebuah tempat ziarah yang terletak di Jalan Tentara Pelajar, Kelurahan Panjang, Ambarawa. Tempat ini adalah tempat yang cukup baik untuk berdoa, berziarah, dan menyegarkan diri.",1,5,4.9,-7.255371927,110.398071,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Mary%20statue%20at%20Maria%20Kerep%20Cave%2C%20Ambarawa.jpg,https://id.wikipedia.org/wiki/Gua_Maria_Kerep,"https://www.google.com/maps?q=-7.255371927,110.398071"
XKUedHHpfAHDVpXwqtWEor,History of Java Museum,"History of Java Museum (dalam bahasa Indonesia: Museum Sejarah Jawa) beroperasi pada akhir Desember 2018. History of Java Museum merupakan ikon wisata sejarah dan budaya berlokasi di Jalan Parangtritis KM 5.5, Kecamatan Sewon, Kabupaten Bantul, DIY.",1,18,4.5,-7.843888888,110.36225,http://commons.wikimedia.org/wiki/Special:FilePath/History%20of%20Java%20Museum.jpg,https://id.wikipedia.org/wiki/History_of_Java_Museum,"https://www.google.com/maps?q=-7.843888888,110.36225"
JwBXydGtzzYcqtMGVt83Rm,History of Sundaland Museum,Museum History of Sundaland merupakan museum kebudayaan lokal Indonesia yang mengangkat kisah tentang peradaban Tanah Sunda sejak zaman purbakala hingga era modern. Di Museum History of Sundaland terdapat 17 Zona yang berkisah tentang peradaban Tanah Sunda hingga kehidupan di kerajaan Hindu-Buddha sampai Kerajaan Islam.,1,70,4.2,-6.326778324,107.2945556,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20History%20of%20Sundaland%20Museum.jpg,https://id.wikipedia.org/wiki/History_of_Sundaland_Museum,"https://www.google.com/maps?q=-6.326778324,107.2945556"
VQz8x3Q54auQauiwqb4JyN,House of Sampoerna,House of Sampoerna adalah sebuah museum tembakau dan markas besar Sampoerna yang terletak di Surabaya. Gaya arsitektur dari bangunan utamanya yang dipengaruhi oleh gaya kolonial Belanda dibangun pada 1862 dan sekarang menjadi situs sejarah.,1,158,4.6,-7.230805555,112.73425,http://commons.wikimedia.org/wiki/Special:FilePath/House%20of%20Sampoerna%20Mei%202015.jpg,https://id.wikipedia.org/wiki/House_of_Sampoerna,"https://www.google.com/maps?q=-7.230805555,112.73425"
3pynLW44NWM7SbxskrmDWq,Indonesian Islamic Art Museum,"Indonesian Islamic Art Museum atau Museum Islam adalah museum sejarah Islam Indonesia dan dunia yang berlokasi di Lamongan, Jawa Timur. Museum ini dibuka pada 28 Desember 2016.",1,87,4.5,-6.866825,112.361589,http://commons.wikimedia.org/wiki/Special:FilePath/Indonesian%20Islamic%20Art%20Museum.jpg,https://id.wikipedia.org/wiki/Indonesian_Islamic_Art_Museum,"https://www.google.com/maps?q=-6.866825,112.361589"
B2qN2WijUFA8bT5bVxjS4o,Istana Basa Pagaruyung,"Istano Basa Pagaruyung yang lebih terkenal dengan nama Istana Besar Kerajaan Pagaruyung adalah museum berupa replika istana Kerajaan Pagaruyung terletak di Nagari Pagaruyung, Kecamatan Tanjung Emas, Kabupaten Tanah Datar, Sumatra Barat. Istana ini berjarak lebih kurang 5 kilometer dari Batusangkar.",1,161,4.6,-0.471388888,100.6213889,http://commons.wikimedia.org/wiki/Special:FilePath/Istana%20Pagaruyung%20%28Pagaruyung%20Palace%29.jpg,https://id.wikipedia.org/wiki/Istana_Basa_Pagaruyung,"https://www.google.com/maps?q=-0.471388888,100.6213889"
ZgwwNjugkPHCjhs6CYXXfB,Jawa Timur Park,"Jatim Park adalah sebuah tempat rekreasi dan taman belajar yang terdapat di Kota Batu, Jawa Timur. Objek wisata ini berada sekitar 20 km barat Kota Malang, dan kini menjadi salah satu icon wisata Jawa Timur.",4,21,4.5,-7.88412,112.52491,http://commons.wikimedia.org/wiki/Special:FilePath/East%20Java%20Park%2C%20Batu%2C%20Malang.jpg,https://id.wikipedia.org/wiki/Jatim_Park,"https://www.google.com/maps?q=-7.88412,112.52491"
NzdXDgTNuG7koDxtKNnWtX,Joko Tuo,"Bukit Joko Tuo adalah sebuah bukit yang menghadap ke arah Kota Karimunjawa, sehingga sunset bisa terlihat sangat indah berpadu dengan aktivitas di sekitar tepi laut Karimunjawa. Bukit ini berjarak ± 300 meter dari pusat Kota Karimunjawa, atau lebih tepatnya di sebelah utara pasar Karimunjawa.",4,71,,-5.874611111,110.4373278,http://commons.wikimedia.org/wiki/Special:FilePath/Batu%20huruf%20di%20Bukit%20Joko%20Tuo.jpg,https://id.wikipedia.org/wiki/Bukit_Joko_Tuo,"https://www.google.com/maps?q=-5.874611111,110.4373278"
AxQKNbmMCh2m6DD6ky3RYp,Kebun Binatang Pematang Siantar,"Taman Hewan Pematangsiantar (THPS) atau sebelumnya dikenal juga sebagai Kebun Binatang Siantar dan Kebun Binatang Pematangsiantar, adalah kebun binatang yang terletak di kota Pematangsiantar. Kebun binatang ini resmi dibuka untuk umum pada tanggal 27 November 1936 dengan luas areal sekitar 4.5 hektare.",2,129,4.5,2.9526171,99.0588213,http://commons.wikimedia.org/wiki/Special:FilePath/Taman%20Hewan%20Pematang%20Siantar%20%282%29.JPG,https://id.wikipedia.org/wiki/Kebun_Binatang_Pematang_Siantar,"https://www.google.com/maps?q=2.9526171,99.0588213"
WvoHoSvpJLNWt6kpcLPT4T,Kebun Binatang Ragunan,"Taman Margasatwa Ragunan atau juga disebut Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864.",2,55,4.5,-6.3115875,106.8199182,http://commons.wikimedia.org/wiki/Special:FilePath/Ragunan%20zoo%20Jakarta%20Indonesia.jpg,https://id.wikipedia.org/wiki/Kebun_Binatang_Ragunan,"https://www.google.com/maps?q=-6.3115875,106.8199182"
iD7JFCZvNpkWqzNSSPbQrU,Kebun Binatang Surabaya,"Kebun Binatang Surabaya adalah salah satu kebun binatang yang populer di Indonesia dan terletak di Surabaya. KBS merupakan kebun binatang yang pernah terlengkap se-Asia Tenggara, di dalamnya terdapat lebih dari 230 spesies satwa yang berbeda yang terdiri lebih dari 2179 ekor satwa.",2,158,4.4,-7.29583333,112.7361111,http://commons.wikimedia.org/wiki/Special:FilePath/Surabaya%20Zoo.JPG,https://id.wikipedia.org/wiki/Kebun_Binatang_Surabaya,"https://www.google.com/maps?q=-7.29583333,112.7361111"
emnibKxoSJHGtoThn4h9qu,Kebun Raya Bali,"Kebun Raya ""Eka Karya"" Bali atau kadang disebut Kebun Raya Bedugul adalah sebuah kebun botani terbesar di Indonesia yang terletak di Desa Candikuning, Kecamatan Baturiti, Kabupaten Tabanan, Bali berjarak sekitar 60 km dari Denpasar. Kebun ini merupakan kebun raya pertama yang didirikan oleh putra bangsa Indonesia. Pengelolaannya dilakukan oleh Lembaga Ilmu Pengetahuan Indonesia (LIPI) dan secara struktur organisasi berada di bawah pembinaan Pusat Konservasi Tumbuhan Kebun Raya Bogor.",2,160,4.6,-8.2778,115.1544,http://commons.wikimedia.org/wiki/Special:FilePath/Bali%20Botanic%20Garden%20entrance%20gate%20Indonesia.jpg,https://id.wikipedia.org/wiki/Kebun_Raya_Bali,"https://www.google.com/maps?q=-8.2778,115.1544"
UJTm8d4t4txYHFAZPw9P6Q,Mandala Wisata Wenara Wana,"Mandala Suci Wenara Wana atau disebut juga Monkey Forest Ubud merupakan sebuah tempat cagar alam dan kompleks candi yang terletak di desa Padangtegal Ubud, Bali. Di tempat ini mempunyai kurang lebih 1260 ekor monyet ekor panjang (Macaca fascicularis) (63 jantan dewasa, 34 jantan muda, 219 betina dewasa, 29 betina muda, 167 juvenile 1 (2-3 tahun), 118 juvenile 2 (1-2 tahun), 63 Infant old (5-12 bulan) dan 56 infant.",2,48,4.5,-8.51882222,115.2583833,http://commons.wikimedia.org/wiki/Special:FilePath/Monkey%20Forest.jpg,https://id.wikipedia.org/wiki/Mandala_Wisata_Wenara_Wana,"https://www.google.com/maps?q=-8.51882222,115.2583833"
HgQJS6rhpbvcHj6uBW6jnd,Monumen Bajra Sandhi,"Monumen Bajra Sandhi atau disebut juga Monumen Perjuangan Rakyat Bali adalah monumen perjuangan rakyat Bali yang terletak di Sumerta Kelod, Kota Denpasar, Bali. Monumen ini menempati areal yang sangat luas, ada beberapa lapangan bola di sekelilingnya.",1,45,4.6,-8.67166667,115.2338889,http://commons.wikimedia.org/wiki/Special:FilePath/Monumen-Bajra-Sandhi.jpg,https://id.wikipedia.org/wiki/Monumen_Bajra_Sandhi,"https://www.google.com/maps?q=-8.67166667,115.2338889"
J9S6QHYqUP2MHXiC8fEbJ7,Monumen Kapal Selam,"Monumen Kapal Selam, atau disingkat Monkasel, adalah sebuah museum kapal selam yang terdapat di Embong Kaliasin, Genteng, Surabaya. Terletak di pusat kota yaitu di Jalan Pemuda, tepat di sebelah Plaza Surabaya, dan terdapat pintu akses untuk mengakses mal dari dalam monumen.",1,158,4.5,-7.26552,112.75027,http://commons.wikimedia.org/wiki/Special:FilePath/Submarine%20Monument%20Surabaya%202.JPG,https://id.wikipedia.org/wiki/Monumen_Kapal_Selam,"https://www.google.com/maps?q=-7.26552,112.75027"
AAN8nvhuQSTFfTsBGE7U8X,Monumen Nasional,"Monumen Nasional atau yang disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat. Monas didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia dalam merebut kemerdekaan dari pemerintahan kolonial Kekaisaran Belanda.",1,55,4.6,-6.17538,106.82715,http://commons.wikimedia.org/wiki/Special:FilePath/Jakarta%20Indonesia%20National-Monument-02.jpg,https://id.wikipedia.org/wiki/Monumen_Nasional,"https://www.google.com/maps?q=-6.17538,106.82715"
8thuEEqzgaCvYsWxBcrHpe,Monumen Pers Nasional,"Monumen Pers Nasional adalah museum khusus pers nasional Indonesia yang terletak di Surakarta, Jawa Tengah. Koleksinya meliputi teknologi komunikasi dan teknologi reportase, seperti penerbangan, mesin ketik, pemancar, telepon, dan kentongan besar. Museum ini didirikan pada tahun 1978, setelah lebih dari 20 tahun diusulkan dan dioperasikan oleh Kementerian Komunikasi dan Informatika Indonesia.",1,153,4.6,-7.56502,110.81805,http://commons.wikimedia.org/wiki/Special:FilePath/Monumen%20Pers%20Nasional%2C%20Surakarta%20%28panorama%29.jpg,https://id.wikipedia.org/wiki/Monumen_Pers_Nasional,"https://www.google.com/maps?q=-7.56502,110.81805"
BCoM7j26etZVTpDKtWhVFi,Museum Adityawarman,"Museum Adityawarman adalah museum budaya Sumatra Barat yang terletak di Kota Padang. Museum ini diresmikan pada 16 Maret 1977 mengambil nama besar salah seorang raja Malayapura pada abad ke-14, Adityawarman yang sezaman dengan Kerajaan Majapahit. Museum ini memiliki julukan Taman Mini ala Sumatra Barat.",1,115,4.4,-0.95525,100.3558333,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20Adityawarman%2020211213.jpg,https://id.wikipedia.org/wiki/Museum_Adityawarman,"https://www.google.com/maps?q=-0.95525,100.3558333"
UKQDSAjVVHExnk8kaMBPXL,Museum Affandi,"Museum Affandi merupakan salah satu museum seni di Daerah Istimewa Yogyakarta, Indonesia. Museum yang berada di tepi Sungai Gajah Wong ini menyimpan berbagai macam lukisan karya Affandi.",1,177,4.6,-7.7827,110.3963,http://commons.wikimedia.org/wiki/Special:FilePath/Barang%20koleksi%20berupa%20mobil%20dan%20sepeda%20onthel%20yang%20terpajang%20di%20dalam%20Galeri%20I%20Museum%20Affandi.jpg,https://id.wikipedia.org/wiki/Museum_Affandi,"https://www.google.com/maps?q=-7.7827,110.3963"
J4iyYQ5JGMi5tHBaiE3Mei,Museum Agung Bung Karno,"Museum Agung Bung Karno adalah museum yang menyimpan peninggalan bersejarah yang berhubungan dengan Soekarno—presiden pertama Indonesia. Museum ini terletak di Jalan Raya Puputan 80, Dangin Puri Klod, Denpasar, Bali. Letak tepatnya berada di sisi barat pusat kota Denpasar, tak jauh dari Puputan Renon.",1,45,4.8,-8.672314,115.225437,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20Agung%20Bung%20Karno.png,https://id.wikipedia.org/wiki/Museum_Agung_Bung_Karno,"https://www.google.com/maps?q=-8.672314,115.225437"
XcktkLYZTMhTFLU8okhXoA,Museum Angkut,"Museum Angkut merupakan museum transportasi dan tempat wisata modern yang terletak di Kota Batu, Jawa Timur, sekitar 20 km dari Kota Malang. Museum ini terletak di kawasan seluas 3,8 hektar di lereng Gunung Panderman dan memiliki lebih dari 300 koleksi jenis angkutan tradisional hingga modern. Museum ini terbagi dalam beberapa zona yang didekorasi dengan setting landscape model bangunan dari benua Asia, Eropa hingga Amerika. Di Zona Sunda Kelapa dan Batavia yang merupakan Replika Pelabuhan Sunda Kelapa, dihiasi oleh beberapa alat transportasi kuno seperti becak dan miniatur kapal.",1,21,4.7,-7.87906,112.51986,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20angkut.jpg,https://id.wikipedia.org/wiki/Museum_Angkut,"https://www.google.com/maps?q=-7.87906,112.51986"
aV8yUQu2y5aVf9zBicB7ac,Museum Bahari,Museum Bahari adalah museum yang menyimpan koleksi yang berhubungan dengan kebaharian dan kenelayanan bangsa Indonesia dari Sabang hingga Merauke yang berlokasi di seberang Pelabuhan Sunda Kelapa. Museum Bahari merupakan salah satu dari delapan museum yang berada di bawah pengawasan dan pengelolaan dari Dinas Kebudayaan Provinsi Daerah Khusus Ibu kota Jakarta.,1,55,4.5,-6.12698333,106.8083,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20Bahari%20Pintu%20Masuk.jpg,https://id.wikipedia.org/wiki/Museum_Bahari,"https://www.google.com/maps?q=-6.12698333,106.8083"
kr7zbz2vQsALKuqdnWSuvu,Museum Balaputera Dewa,"Museum Balaputra Deva atau secara resmi disebut Museum Negeri Provinsi Sumatra Selatan ""Balaputra Dewa"", adalah sebuah museum etnografi yang terletak di Kota Palembang, Sumatera Selatan, Indonesia. Museum ini adalah museum negeri Provinsi Sumatra Selatan.",1,119,4.5,-2.95096,104.73069,http://commons.wikimedia.org/wiki/Special:FilePath/Rumah%20Limas%20of%20IDR%2010000%20banknote.jpg,https://id.wikipedia.org/wiki/Museum_Balaputera_Dewa,"https://www.google.com/maps?q=-2.95096,104.73069"
QNCPy3JozV3aQmLqAPMYHT,Museum Bali,"Museum Bali (dikenal juga sebagai Museum Unit Pelaksana Teknis Dinas Kebudayaan Bali) adalah museum negara yang berada di Kota Denpasar, Bali. Museum Bali menjadi museum penyimpanan peninggalan masa lampau manusia dan etnografi.",1,45,4.4,-8.6575,115.2185278,http://commons.wikimedia.org/wiki/Special:FilePath/Bali%20Museum.jpg,https://id.wikipedia.org/wiki/Museum_Bali,"https://www.google.com/maps?q=-8.6575,115.2185278"
6CSqTzvB2Bjznxt4XYfAzg,Museum Balla Lompoa,Museum Balla Lompoa adalah sebuah museum yang terletak di tengah-tengah Kelurahan Sungguminasa. Museum ini didirikan pada tanggal 11 Desember 1973.,1,101,4.5,-5.206618072,119.4527762,http://commons.wikimedia.org/wiki/Special:FilePath/MuseumBallaLompoa.JPG,https://id.wikipedia.org/wiki/Museum_Balla_Lompoa,"https://www.google.com/maps?q=-5.206618072,119.4527762"
W7apHaxjT4umx9J92d3FLQ,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No. 3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.",1,55,4.7,-6.13733,106.813,http://commons.wikimedia.org/wiki/Special:FilePath/Bank%20Indonesia%20Museum%201.jpg,https://id.wikipedia.org/wiki/Museum_Bank_Indonesia,"https://www.google.com/maps?q=-6.13733,106.813"
